truth,pred,Freq
ascending_stairs,ascending_stairs,154
cycling,ascending_stairs,0
descending_stairs,ascending_stairs,4
ironing,ascending_stairs,0
lying,ascending_stairs,1
nordic_walking,ascending_stairs,0
rope_jumping,ascending_stairs,0
running,ascending_stairs,0
sitting,ascending_stairs,2
standing,ascending_stairs,0
vacuum_cleaning,ascending_stairs,0
walking,ascending_stairs,0
ascending_stairs,cycling,0
cycling,cycling,250
descending_stairs,cycling,0
ironing,cycling,0
lying,cycling,0
nordic_walking,cycling,0
rope_jumping,cycling,0
running,cycling,0
sitting,cycling,0
standing,cycling,0
vacuum_cleaning,cycling,0
walking,cycling,0
ascending_stairs,descending_stairs,0
cycling,descending_stairs,0
descending_stairs,descending_stairs,116
ironing,descending_stairs,0
lying,descending_stairs,0
nordic_walking,descending_stairs,0
rope_jumping,descending_stairs,0
running,descending_stairs,0
sitting,descending_stairs,0
standing,descending_stairs,0
vacuum_cleaning,descending_stairs,0
walking,descending_stairs,0
ascending_stairs,ironing,0
cycling,ironing,0
descending_stairs,ironing,0
ironing,ironing,279
lying,ironing,1
nordic_walking,ironing,0
rope_jumping,ironing,0
running,ironing,0
sitting,ironing,21
standing,ironing,13
vacuum_cleaning,ironing,0
walking,ironing,0
ascending_stairs,lying,0
cycling,lying,0
descending_stairs,lying,0
ironing,lying,0
lying,lying,216
nordic_walking,lying,0
rope_jumping,lying,0
running,lying,0
sitting,lying,0
standing,lying,0
vacuum_cleaning,lying,0
walking,lying,0
ascending_stairs,nordic_walking,0
cycling,nordic_walking,0
descending_stairs,nordic_walking,0
ironing,nordic_walking,0
lying,nordic_walking,0
nordic_walking,nordic_walking,288
rope_jumping,nordic_walking,0
running,nordic_walking,0
sitting,nordic_walking,1
standing,nordic_walking,0
vacuum_cleaning,nordic_walking,0
walking,nordic_walking,0
ascending_stairs,rope_jumping,0
cycling,rope_jumping,0
descending_stairs,rope_jumping,0
ironing,rope_jumping,0
lying,rope_jumping,0
nordic_walking,rope_jumping,0
rope_jumping,rope_jumping,129
running,rope_jumping,1
sitting,rope_jumping,0
standing,rope_jumping,0
vacuum_cleaning,rope_jumping,0
walking,rope_jumping,0
ascending_stairs,running,0
cycling,running,0
descending_stairs,running,0
ironing,running,0
lying,running,0
nordic_walking,running,0
rope_jumping,running,1
running,running,89
sitting,running,0
standing,running,0
vacuum_cleaning,running,0
walking,running,0
ascending_stairs,sitting,0
cycling,sitting,1
descending_stairs,sitting,0
ironing,sitting,0
lying,sitting,0
nordic_walking,sitting,10
rope_jumping,sitting,0
running,sitting,3
sitting,sitting,158
standing,sitting,0
vacuum_cleaning,sitting,0
walking,sitting,0
ascending_stairs,standing,2
cycling,standing,0
descending_stairs,standing,3
ironing,standing,4
lying,standing,5
nordic_walking,standing,0
rope_jumping,standing,0
running,standing,0
sitting,standing,11
standing,standing,237
vacuum_cleaning,standing,4
walking,standing,3
ascending_stairs,vacuum_cleaning,15
cycling,vacuum_cleaning,0
descending_stairs,vacuum_cleaning,24
ironing,vacuum_cleaning,6
lying,vacuum_cleaning,7
nordic_walking,vacuum_cleaning,0
rope_jumping,vacuum_cleaning,0
running,vacuum_cleaning,0
sitting,vacuum_cleaning,30
standing,vacuum_cleaning,5
vacuum_cleaning,vacuum_cleaning,202
walking,vacuum_cleaning,2
ascending_stairs,walking,0
cycling,walking,0
descending_stairs,walking,3
ironing,walking,0
lying,walking,2
nordic_walking,walking,0
rope_jumping,walking,0
running,walking,0
sitting,walking,0
standing,walking,0
vacuum_cleaning,walking,0
walking,walking,320
