truth,pred,Freq
ascending_stairs,ascending_stairs,131
cycling,ascending_stairs,3
descending_stairs,ascending_stairs,5
ironing,ascending_stairs,0
lying,ascending_stairs,0
nordic_walking,ascending_stairs,2
rope_jumping,ascending_stairs,3
running,ascending_stairs,0
sitting,ascending_stairs,0
standing,ascending_stairs,0
vacuum_cleaning,ascending_stairs,0
walking,ascending_stairs,6
ascending_stairs,cycling,0
cycling,cycling,43
descending_stairs,cycling,1
ironing,cycling,0
lying,cycling,0
nordic_walking,cycling,0
rope_jumping,cycling,0
running,cycling,0
sitting,cycling,0
standing,cycling,0
vacuum_cleaning,cycling,0
walking,cycling,0
ascending_stairs,descending_stairs,4
cycling,descending_stairs,1
descending_stairs,descending_stairs,105
ironing,descending_stairs,0
lying,descending_stairs,0
nordic_walking,descending_stairs,0
rope_jumping,descending_stairs,1
running,descending_stairs,4
sitting,descending_stairs,0
standing,descending_stairs,0
vacuum_cleaning,descending_stairs,0
walking,descending_stairs,4
ascending_stairs,ironing,0
cycling,ironing,4
descending_stairs,ironing,2
ironing,ironing,322
lying,ironing,0
nordic_walking,ironing,4
rope_jumping,ironing,0
running,ironing,1
sitting,ironing,0
standing,ironing,41
vacuum_cleaning,ironing,4
walking,ironing,0
ascending_stairs,lying,0
cycling,lying,0
descending_stairs,lying,0
ironing,lying,0
lying,lying,231
nordic_walking,lying,0
rope_jumping,lying,0
running,lying,0
sitting,lying,0
standing,lying,0
vacuum_cleaning,lying,0
walking,lying,0
ascending_stairs,nordic_walking,0
cycling,nordic_walking,0
descending_stairs,nordic_walking,0
ironing,nordic_walking,0
lying,nordic_walking,0
nordic_walking,nordic_walking,249
rope_jumping,nordic_walking,0
running,nordic_walking,0
sitting,nordic_walking,0
standing,nordic_walking,0
vacuum_cleaning,nordic_walking,0
walking,nordic_walking,0
ascending_stairs,rope_jumping,0
cycling,rope_jumping,0
descending_stairs,rope_jumping,0
ironing,rope_jumping,0
lying,rope_jumping,0
nordic_walking,rope_jumping,0
rope_jumping,rope_jumping,70
running,rope_jumping,0
sitting,rope_jumping,0
standing,rope_jumping,0
vacuum_cleaning,rope_jumping,0
walking,rope_jumping,0
ascending_stairs,running,0
cycling,running,0
descending_stairs,running,0
ironing,running,0
lying,running,0
nordic_walking,running,0
rope_jumping,running,0
running,running,232
sitting,running,0
standing,running,0
vacuum_cleaning,running,0
walking,running,0
ascending_stairs,sitting,2
cycling,sitting,0
descending_stairs,sitting,5
ironing,sitting,0
lying,sitting,0
nordic_walking,sitting,0
rope_jumping,sitting,0
running,sitting,1
sitting,sitting,253
standing,sitting,0
vacuum_cleaning,sitting,0
walking,sitting,0
ascending_stairs,standing,0
cycling,standing,0
descending_stairs,standing,0
ironing,standing,0
lying,standing,1
nordic_walking,standing,0
rope_jumping,standing,1
running,standing,4
sitting,standing,6
standing,standing,173
vacuum_cleaning,standing,2
walking,standing,0
ascending_stairs,vacuum_cleaning,4
cycling,vacuum_cleaning,195
descending_stairs,vacuum_cleaning,7
ironing,vacuum_cleaning,7
lying,vacuum_cleaning,3
nordic_walking,vacuum_cleaning,4
rope_jumping,vacuum_cleaning,0
running,vacuum_cleaning,4
sitting,vacuum_cleaning,7
standing,vacuum_cleaning,3
vacuum_cleaning,vacuum_cleaning,238
walking,vacuum_cleaning,2
ascending_stairs,walking,0
cycling,walking,0
descending_stairs,walking,0
ironing,walking,0
lying,walking,0
nordic_walking,walking,4
rope_jumping,walking,0
running,walking,0
sitting,walking,0
standing,walking,0
vacuum_cleaning,walking,0
walking,walking,308
